cpu_address	file_offset	u17_code_target
0xFE00	0x7E00	0x2442
0xFE03	0x7E03	0x06EB
0xFE06	0x7E06	0x075D
0xFE09	0x7E09	0x22E2
0xFE0C	0x7E0C	0x1F51
0xFE0F	0x7E0F	0x205B
0xFE12	0x7E12	0x07B8
0xFE15	0x7E15	0x0821
0xFE18	0x7E18	0x090D
0xFE1B	0x7E1B	0x09E3
0xFE1E	0x7E1E	0x1A2A
0xFE21	0x7E21	0x1423
0xFE24	0x7E24	0x0C14
0xFE27	0x7E27	0x1D7E
0xFE2A	0x7E2A	0x1ADC
0xFE2D	0x7E2D	0x162C
0xFE30	0x7E30	0x1551
0xFE33	0x7E33	0x2182
0xFE36	0x7E36	0x0680
0xFE39	0x7E39	0x0542
0xFE3C	0x7E3C	0x05C6
0xFE3F	0x7E3F	0x0B4D
0xFE42	0x7E42	0x0BD9
0xFE45	0x7E45	0x1469
0xFE48	0x7E48	0x14B3
0xFE4B	0x7E4B	0x0C4B
0xFE4E	0x7E4E	0x0A55
0xFE51	0x7E51	0x007C
0xFE54	0x7E54	0x1671
0xFE57	0x7E57	0x21E6
0xFE5A	0x7E5A	0x1C7B
0xFE5D	0x7E5D	0x23C5
0xFE60	0x7E60	0x037C
0xFE63	0x7E63	0x168A
0xFE66	0x7E66	0x12D5
0xFE69	0x7E69	0x137B
0xFE6C	0x7E6C	0x12AB
0xFE6F	0x7E6F	0x1278
0xFE72	0x7E72	0x180E
0xFE75	0x7E75	0x1869
0xFE78	0x7E78	0x1909
0xFE7B	0x7E7B	0x19E2
0xFE7E	0x7E7E	0x0076
