rom_address	caller	target	instruction
jump_01E0+27	jump_01E0	0xFE00	lcall dptr_FE00
jump_01E0+30	jump_01E0	0xFE21	lcall jump_FE21
jump_0212+44	jump_0212	0xFE24	lcall jump_FE24
jump_0212+47	jump_0212	0xFE3F	lcall jump_FE3F
jump_0212+48	jump_0212	0xFE42	lcall jump_FE42
jump_023A+69	jump_023A	0xFE06	lcall jump_FE06
jump_023A+76	jump_023A	0xFE06	lcall jump_FE06
jump_0257+88	jump_0257	0xFE06	lcall jump_FE06
jump_0257+95	jump_0257	0xFE06	lcall jump_FE06
jump_027E+106	jump_027E	0xFE06	lcall jump_FE06
jump_02A1+131	jump_02A1	0xFE06	lcall jump_FE06
jump_02A1+138	jump_02A1	0xFE06	lcall jump_FE06
jump_02CD+146	jump_02CD	0xFE06	lcall jump_FE06
jump_02CD+167	jump_02CD	0xFE06	lcall jump_FE06
jump_02CD+174	jump_02CD	0xFE06	lcall jump_FE06
jump_0311+183	jump_0311	0xFE06	lcall jump_FE06
jump_0311+190	jump_0311	0xFE06	lcall jump_FE06
jump_034D+218	jump_034D	0xFE06	lcall jump_FE06
jump_034D+225	jump_034D	0xFE06	lcall jump_FE06
jump_034D+232	jump_034D	0xFE06	lcall jump_FE06
jump_034D+235	jump_034D	0xFE51	lcall jump_FE51
jump_0E2C+452	jump_0E2C	0xFE54	lcall jump_FE54
jump_0E2C+455	jump_0E2C	0xFE54	lcall jump_FE54
jump_0EA2+525	jump_0EA2	0xFE45	lcall jump_FE45
jump_0EA2+529	jump_0EA2	0xFE48	lcall jump_FE48
jump_0EA2+533	jump_0EA2	0xFE1E	lcall jump_FE1E
jump_0EA2+538	jump_0EA2	0xFE33	lcall jump_FE33
jump_0EA2+543	jump_0EA2	0xFE33	lcall jump_FE33
jump_0EA2+548	jump_0EA2	0xFE33	lcall jump_FE33
jump_0EA2+553	jump_0EA2	0xFE33	lcall jump_FE33
jump_0EA2+558	jump_0EA2	0xFE33	lcall jump_FE33
jump_0EA2+563	jump_0EA2	0xFE33	lcall jump_FE33
jump_0EA2+568	jump_0EA2	0xFE33	lcall jump_FE33
jump_0EA2+573	jump_0EA2	0xFE33	lcall jump_FE33
jump_0EA2+574	jump_0EA2	0xFE27	lcall jump_FE27
jump_0EA2+577	jump_0EA2	0xFE3F	lcall jump_FE3F
jump_0EA2+578	jump_0EA2	0xFE42	lcall jump_FE42
jump_0EA2+579	jump_0EA2	0xFE4B	lcall jump_FE4B
jump_0F16+586	jump_0F16	0xFE6F	lcall jump_FE6F
jump_0F1F+592	jump_0F1F	0xFE51	lcall jump_FE51
jump_0F1F+600	jump_0F1F	0xFE6C	lcall jump_FE6C
jump_0F84+666	jump_0F84	0xFE48	lcall jump_FE48
jump_0FCD+713	jump_0FCD	0xFE45	lcall jump_FE45
jump_0FFA+736	jump_0FFA	0xFE51	lcall jump_FE51
jump_1016+740	jump_1016	0xFE5A	lcall jump_FE5A
jump_1016+748	jump_1016	0xFE2A	lcall jump_FE2A
jump_10B8+850	jump_10B8	0xFE57	lcall jump_FE57
jump_10CB+861	jump_10CB	0xFE33	lcall jump_FE33
jump_119C+983	jump_119C	0xFE57	lcall jump_FE57
jump_11AB+994	jump_11AB	0xFE33	lcall jump_FE33
jump_11CC+1005	jump_11CC	0xFE27	lcall jump_FE27
jump_3176+1348	jump_3176	0xFE06	lcall jump_FE06
jump_328A+1481	jump_328A	0x8000	lcall jump_8000
jump_33F8+1612	jump_33F8	0xFEC9	lcall jump_FEC9
SERIAL_ISR+1627	SERIAL_ISR	0xFED1	lcall jump_FED1
jump_3434+1642	jump_3434	0xFEED	lcall jump_FEED
jump_3452+1657	jump_3452	0xFEC1	lcall jump_FEC1
jump_3470+1672	jump_3470	0xFEC5	lcall jump_FEC5
jump_348E+1687	jump_348E	0xFECD	lcall jump_FECD
jump_34AC+1702	jump_34AC	0xFED9	lcall jump_FED9
jump_34CA+1717	jump_34CA	0xFEDD	lcall jump_FEDD
jump_34E8+1732	jump_34E8	0xFEE1	lcall jump_FEE1
jump_3506+1747	jump_3506	0xFEE5	lcall jump_FEE5
jump_3524+1762	jump_3524	0xFEE9	lcall jump_FEE9
jump_3542+1777	jump_3542	0xFEF1	lcall jump_FEF1
jump_3560+1792	jump_3560	0xFEF5	lcall jump_FEF5
jump_357E+1807	jump_357E	0xFEF9	lcall jump_FEF9
