target	family	confidence	call_count	call_sites
0x8000	external application launch	high	1	0x32A2
0xFE00	FE-page service	low	1	0x01ED
0xFE03	FE-page service	low	2	0x0797; 0x07AA
0xFE06	FE-page service	low	20	0x0244; 0x0251; 0x0266; 0x0273; 0x028D; 0x02B6; 0x02C3; 0x02D7; 0x02FD; 0x030A; 0x031B; 0x0328; 0x0359; 0x0366; 0x0373; 0x081D; 0x0909; 0x09DF; 0x0A51; 0x31AF
0xFE1E	FE-page service	low	1	0x0EBA
0xFE21	FE-page service	low	1	0x01F6
0xFE24	FE-page service	low	1	0x0212
0xFE27	FE-page service	low	2	0x0EFC; 0x11CC
0xFE2A	FE-page service	low	1	0x102A
0xFE33	FE-page service	low	10	0x0EC1; 0x0EC9; 0x0ED1; 0x0ED9; 0x0EE1; 0x0EE9; 0x0EF1; 0x0EF9; 0x10D8; 0x11B8
0xFE3F	FE-page service	low	2	0x0217; 0x0F03
0xFE42	FE-page service	low	2	0x021A; 0x0F06
0xFE45	FE-page service	low	2	0x0EA8; 0x0FE2
0xFE48	FE-page service	low	6	0x0EB1; 0x0F99; 0x1865; 0x1905; 0x19DE; 0x1A26
0xFE4B	FE-page service	low	1	0x0F09
0xFE51	FE-page service	low	3	0x0378; 0x0F21; 0x100E
0xFE54	FE-page service	low	2	0x0E2E; 0x0E33
0xFE57	FE-page service	low	2	0x10C4; 0x11A5
0xFE5A	FE-page service	low	1	0x101C
0xFE6C	FE-page service	low	1	0x0F30
0xFE6F	FE-page service	low	1	0x0F16
0xFEC1	interrupt/service shim	medium	1	0x3462
0xFEC5	interrupt/service shim	medium	1	0x3480
0xFEC9	interrupt/service shim	medium	1	0x3408
0xFECD	interrupt/service shim	medium	1	0x349E
0xFED1	interrupt/service shim	medium	1	0x3426
0xFED9	interrupt/service shim	medium	1	0x34BC
0xFEDD	interrupt/service shim	medium	1	0x34DA
0xFEE1	interrupt/service shim	medium	1	0x34F8
0xFEE5	interrupt/service shim	medium	1	0x3516
0xFEE9	interrupt/service shim	medium	1	0x3534
0xFEED	interrupt/service shim	medium	1	0x3444
0xFEF1	interrupt/service shim	medium	1	0x3552
0xFEF5	interrupt/service shim	medium	1	0x3570
0xFEF9	interrupt/service shim	medium	1	0x358E
