rom_address	caller	target	R1	R2	R3	R4	R5	R6	R7	CODE_pointer_R2_R1	post_call
0x0244	jump_023A	0xFE06	R1=0xC6	R2=0x03	R3=0x05	R4=?	R5=0x04	R6=?	R7=0x00	0x03C6	clr A; mov R7, A; mov R5, #05h; mov R3, #05h
0x0251	jump_023A	0xFE06	R1=0xEA	R2=0x03	R3=0x05	R4=?	R5=0x05	R6=?	R7=0x00	0x03EA	lcall jump_0DFE; mov DPTR, #dptr_0034; movx A, @DPTR; jz jump_027E
0x0266	jump_0257	0xFE06	R1=0xF9	R2=0x03	R3=0x05	R4=?	R5=0x03	R6=?	R7=0x00	0x03F9	clr A; mov R7, A; mov R5, #05h; mov R3, #05h
0x0273	jump_0257	0xFE06	R1=0x1E	R2=0x04	R3=0x05	R4=?	R5=0x05	R6=?	R7=0x00	0x041E	lcall jump_30A7; ret; mov A, P5; jb ACC.5, jump_0293
0x028D	jump_027E	0xFE06	R1=0x29	R2=0x04	R3=0x05	R4=?	R5=0x04	R6=?	R7=0x00	0x0429	lcall jump_328A; mov DPTR, #dptr_FDFE; movx A, @DPTR; mov R6, A
0x02B6	jump_02A1	0xFE06	R1=0x41	R2=0x04	R3=0x05	R4=?	R5=0x04	R6=?	R7=0x00	0x0441	clr A; mov R7, A; mov R5, #05h; mov R3, #05h
0x02C3	jump_02A1	0xFE06	R1=0x1E	R2=0x04	R3=0x05	R4=?	R5=0x05	R6=?	R7=0x00	0x041E	lcall jump_30A7; clr A; mov R7, A; mov R5, #03h
0x02D7	jump_02CD	0xFE06	R1=0x67	R2=0x04	R3=0x05	R4=?	R5=0x03	R6=?	R7=0x00	0x0467	mov R7, #00h; mov R6, #80h; mov A, #0FDh; mov R5, A
0x02FD	jump_02CD	0xFE06	R1=0x8A	R2=0x04	R3=0x05	R4=?	R5=0x04	R6=?	R7=0x00	0x048A	clr A; mov R7, A; mov R5, #05h; mov R3, #05h
0x030A	jump_02CD	0xFE06	R1=0x9B	R2=0x04	R3=0x05	R4=?	R5=0x05	R6=?	R7=0x00	0x049B	lcall jump_328A; ret; clr A; mov R7, A
0x031B	jump_0311	0xFE06	R1=0xA8	R2=0x04	R3=0x05	R4=?	R5=0x04	R6=?	R7=0x00	0x04A8	clr A; mov R7, A; mov R5, #05h; mov R3, #05h
0x0328	jump_0311	0xFE06	R1=0x1E	R2=0x04	R3=0x05	R4=?	R5=0x05	R6=?	R7=0x00	0x041E	lcall jump_30A7; ret; mov R0, #80h; mov @R0, #34h
0x0359	jump_034D	0xFE06	R1=0xBB	R2=0x04	R3=0x05	R4=?	R5=0x01	R6=?	R7=0x00	0x04BB	clr A; mov R7, A; mov R5, #02h; mov R3, #05h
0x0366	jump_034D	0xFE06	R1=0xE7	R2=0x04	R3=0x05	R4=?	R5=0x02	R6=?	R7=0x00	0x04E7	clr A; mov R7, A; mov R5, #07h; mov R3, #05h
0x0373	jump_034D	0xFE06	R1=0x15	R2=0x05	R3=0x05	R4=?	R5=0x07	R6=?	R7=0x00	0x0515	clr A; mov R7, A; lcall jump_FE51; ret
0x31AF	jump_3176	0xFE06	R1=0xCE	R2=0x33	R3=0x05	R4=?	R5=0x06	R6=?	R7=0x00	0x33CE	lcall jump_328A; ljmp jump_3253; mov R0, #0A8h; mov @R0, #5Ah
