rom_address	references	text
0x03C5	referenced	FE06 0x0244 jump_023A	"Beginning Manufacturing Diagnostics
0x03EA	referenced	FE06 0x0251 jump_023A	Please Wait...
0x03F9	referenced	FE06 0x0266 jump_0257	Non-Volatile RAM Has Been Cleared...
0x041E	referenced	FE06 0x0273 jump_0257; FE06 0x02C3 jump_02A1; FE06 0x0328 jump_0311	Booting...
0x0429	referenced	FE06 0x028D jump_027E	Unconditional Launch...
0x0441	referenced	FE06 0x02B6 jump_02A1	Updating Firmware to a New Version...
0x0467	referenced	FE06 0x02D7 jump_02CD	Checksumming Battery-Backed RAM...
0x048A	referenced	FE06 0x02FD jump_02CD	Checksum Good...
0x049B	referenced	FE06 0x030A jump_02CD	Launching...
0x04A8	referenced	FE06 0x031B jump_0311	Checksum Failed...
0x04BB	referenced	FE06 0x0359 jump_034D	MultiDesk Boot ROM, version 1.06, 28-Jun-94
0x04E7	referenced	FE06 0x0366 jump_034D	Copyright (C) 1994 Studer-Editech Corporation
0x0515	referenced	FE06 0x0373 jump_034D	For Master Reset Press M1 and F1 at Power-On
0x33CD	referenced	FE06 0x31AF jump_3176	"Launch...
