rom_address	text
0x00A3	yRxg
0x0C95	p(||((
0x0CC8	0`8DD8
0x0CDF	tTH8TT
0x0CE7	@\`(TT( TT8
0x0D09	@8DT <PP<|TT(8DD
0x0D1A	|DD8|TTD|P@
0x0D26	8DT\|
0x0D3E	|00||
0x0D45	|8DD8|PP 8D<
0x0D52	|PX$$TTH
0x0D5B	@|@x
0x1347	2333T
0x135D	2333T
0x13ED	2333T
0x1403	2333T
0x1409	%3D@
0x1BC0	]t!-
0x1E95	RuSpu|
0x24B1	fZ||x
0x25B3	ys[s
0x25CD	vWgo
0x25F9	ynon
0x2888	gwwgo
0x28BD	skk[{
0x291B	~wsmy
0x2960	Ff~}o}}
0x29A7	t#Cs[
0x29BB	[{{Z
0x29ED	rwWuv
0x2A2E	?^6_
0x2A73	>~>~m
0x2A90	_>]/
0x2AA5	kc{s
0x2AD1	8{qp
0x2BB8	kw7w
0x2C28	o/+?<
0x2C2E	I}]o
0x2C5A	}x<}
0x2C89	?~y}
0x2CB5	{US7
0x2D23	&\;|
0x2D28	P5}Y|
0x2D6B	~o}m
0x2D9B	];aS
0x2DC8	|xAv
0x2DE1	r3uW
0x2E0D	kw_mz
0x2F23	????
0x2F39	}{i9{
0x2F4C	}]}}
0x30E5	2F$Z`
