start	end	byte_count	linear_lcall_candidates	pointer_word_candidates	status
0x0006	0x000A	5	0	0	linear candidates only
0x000E	0x0012	5	0	0	linear candidates only
0x0016	0x001A	5	0	0	linear candidates only
0x001E	0x0022	5	0	0	linear candidates only
0x0026	0x002A	5	0	0	linear candidates only
0x0032	0x0032	1	0	0	linear candidates only
0x0036	0x003A	5	0	0	linear candidates only
0x003E	0x0042	5	0	0	linear candidates only
0x0046	0x004A	5	0	0	linear candidates only
0x004E	0x0052	5	0	0	linear candidates only
0x0056	0x005A	5	0	0	linear candidates only
0x005E	0x0062	5	0	0	linear candidates only
0x0066	0x006A	5	0	0	linear candidates only
0x006E	0x0072	5	0	0	linear candidates only
0x0076	0x00A2	45	1	17	linear candidates only
0x00A7	0x01DF	313	0	97	linear candidates only
0x0207	0x020B	5	0	2	linear candidates only
0x0237	0x0239	3	0	1	linear candidates only
0x027A	0x027D	4	1	2	linear candidates only
0x029F	0x02A0	2	0	1	linear candidates only
0x02C7	0x02CC	6	1	4	linear candidates only
0x0399	0x039A	2	0	1	linear candidates only
0x039C	0x039C	1	0	0	linear candidates only
0x03BA	0x03BB	2	0	1	linear candidates only
0x03BD	0x03BD	1	0	0	linear candidates only
0x03E9	0x03E9	1	0	0	linear candidates only
0x03F8	0x03F8	1	0	0	linear candidates only
0x041D	0x041D	1	0	0	linear candidates only
0x0428	0x0428	1	0	0	linear candidates only
0x0440	0x0440	1	0	0	linear candidates only
0x0466	0x0466	1	0	0	linear candidates only
0x0489	0x0489	1	0	0	linear candidates only
0x049A	0x049A	1	0	0	linear candidates only
0x04A7	0x04A7	1	0	0	linear candidates only
0x04BA	0x04BA	1	0	0	linear candidates only
0x04E6	0x04E6	1	0	0	linear candidates only
0x0514	0x0514	1	0	0	linear candidates only
0x0541	0x0541	1	0	0	linear candidates only
0x056E	0x056F	2	0	1	linear candidates only
0x0591	0x0592	2	0	0	linear candidates only
0x05C2	0x05C4	3	0	0	linear candidates only
0x05C6	0x0645	128	0	53	linear candidates only
0x067F	0x0C94	1558	19	753	linear candidates only
0x0C9B	0x0CC7	45	0	40	linear candidates only
0x0CCE	0x0CDE	17	0	16	linear candidates only
0x0CE5	0x0CE6	2	0	1	linear candidates only
0x0CF2	0x0D08	23	0	18	linear candidates only
0x0D19	0x0D19	1	0	0	linear candidates only
0x0D25	0x0D25	1	0	0	linear candidates only
0x0D2B	0x0D3D	19	0	18	linear candidates only
0x0D44	0x0D44	1	0	0	linear candidates only
0x0D51	0x0D51	1	0	0	linear candidates only
0x0D5A	0x0D5A	1	0	0	linear candidates only
0x0D5F	0x0DFD	159	0	152	linear candidates only
0x0E27	0x0E29	3	0	1	linear candidates only
0x0E2B	0x0E2B	1	0	0	linear candidates only
0x0E63	0x0E69	7	0	4	linear candidates only
0x0E6B	0x0E6B	1	0	0	linear candidates only
0x0E99	0x0E9F	7	0	4	linear candidates only
0x0EA1	0x0EA1	1	0	0	linear candidates only
0x0F1C	0x0F1E	3	0	2	linear candidates only
0x0F77	0x0F7D	7	0	1	linear candidates only
0x0F9E	0x0F9F	2	0	0	linear candidates only
0x0FC3	0x0FC6	4	0	1	linear candidates only
0x0FE4	0x0FE6	3	0	1	linear candidates only
0x0FED	0x0FEF	3	0	2	linear candidates only
