rom_address	function	instruction
0x0082	dptr_0070	movx @DPTR, A
0x008A	dptr_008A	movx @DPTR, A
0x038F	jump_0383	movx A, @DPTR
0x03B5	jump_03A8	movx @DPTR, A
0x05CA	jump_05C5	movx @DPTR, A
0x05E2	jump_05D2	movx @DPTR, A
0x05E9	jump_05D2	movx @DPTR, A
0x0606	jump_05F4	movx A, @DPTR
0x060C	jump_05F4	movx A, @DPTR
0x061D	jump_0613	movx @DPTR, A
0x0621	jump_0613	movx @DPTR, A
0x0626	jump_0613	movx @DPTR, A
0x062B	jump_0613	movx @DPTR, A
0x0630	jump_0613	movx @DPTR, A
0x0633	jump_0613	movx A, @DPTR
0x0637	jump_0613	movx @DPTR, A
0x0696	jump_0646	movx @DPTR, A
0x069C	jump_0646	movx @DPTR, A
0x06B4	jump_0646	movx A, @DPTR
0x06B7	jump_0646	movx A, @DPTR
0x06C6	jump_06BC	movx @DPTR, A
0x06CA	jump_06BC	movx @DPTR, A
0x06CF	jump_06BC	movx @DPTR, A
0x06D4	jump_06BC	movx @DPTR, A
0x06D9	jump_06BC	movx @DPTR, A
0x06DD	jump_06BC	movx @DPTR, A
0x0712	jump_06EA	movx @DPTR, A
0x0718	jump_06EA	movx @DPTR, A
0x0726	jump_071D	movx @DPTR, A
0x072A	jump_071D	movx @DPTR, A
0x072F	jump_071D	movx @DPTR, A
0x0734	jump_071D	movx @DPTR, A
0x0739	jump_071D	movx @DPTR, A
0x074D	jump_071D	movx @DPTR, A
0x0761	jump_075C	movx @DPTR, A
0x0764	jump_075C	movx @DPTR, A
0x0767	jump_075C	movx @DPTR, A
0x076A	jump_075C	movx @DPTR, A
0x076D	jump_075C	movx @DPTR, A
0x0771	jump_076E	movx A, @DPTR
0x0784	jump_076E	movx @DPTR, A
0x0786	jump_076E	movx A, @DPTR
0x0792	jump_076E	movx A, @DPTR
0x0795	jump_076E	movx A, @DPTR
0x079F	jump_079C	movx A, @DPTR
0x07A3	jump_079C	movx A, @DPTR
