address	direction	rom_address	function	instruction
0x0034	W	jump_01E0+39	jump_01E0	movx @DPTR, A
0x0035	W	jump_020C+43	jump_020C	movx @DPTR, A
0xFEEE	W	jump_0212+52	jump_0212	movx @DPTR, A
0xFEEE	W	jump_0212+55	jump_0212	movx @DPTR, A
0x0035	R	jump_0212+59	jump_0212	movx A, @DPTR
0x0034	R	jump_0257+79	jump_0257	movx A, @DPTR
0xFDFE	R	jump_0293+109	jump_0293	movx A, @DPTR
0xFDFE	R	jump_0293+112	jump_0293	movx A, @DPTR
0xFDFC	R	jump_02A1+119	jump_02A1	movx A, @DPTR
0xFDFC	R	jump_02A1+123	jump_02A1	movx A, @DPTR
0xFDFE	R	jump_02CD+154	jump_02CD	movx A, @DPTR
0xFDFE	R	jump_02CD+157	jump_02CD	movx A, @DPTR
0xFDFE	W	jump_03BE+287	jump_03BE	movx @DPTR, A
0xFDFE	W	jump_03BE+289	jump_03BE	movx @DPTR, A
0x0036	W	jump_0542+293	jump_0542	movx @DPTR, A
0x0038	W	jump_054E+315	jump_054E	movx @DPTR, A
0x0037	W	jump_054E+319	jump_054E	movx @DPTR, A
0x0037	R	jump_0570+345	jump_0570	movx A, @DPTR
0x0037	R	jump_0570+348	jump_0570	movx A, @DPTR
0xFFF5	W	jump_0593+359	jump_0593	movx @DPTR, A
0xFFF4	W	jump_0593+362	jump_0593	movx @DPTR, A
0xFFF4	W	jump_0593+365	jump_0593	movx @DPTR, A
0xFFF4	W	jump_0593+369	jump_0593	movx @DPTR, A
0xFFF4	W	jump_0593+372	jump_0593	movx @DPTR, A
0x0036	R	jump_0593+374	jump_0593	movx A, @DPTR
0xFFF4	W	jump_0593+376	jump_0593	movx @DPTR, A
0xFFF5	W	jump_0646+405	jump_0646	movx @DPTR, A
0xFFF4	W	jump_0646+409	jump_0646	movx @DPTR, A
0xFFF4	W	jump_0646+412	jump_0646	movx @DPTR, A
0xFFF4	W	jump_0646+416	jump_0646	movx @DPTR, A
0xFFF4	W	jump_0646+419	jump_0646	movx @DPTR, A
0xFFF4	W	jump_0646+422	jump_0646	movx @DPTR, A
0x005A	W	jump_0DFE+426	jump_0DFE	movx @DPTR, A
0x005A	W	jump_0DFE+428	jump_0DFE	movx @DPTR, A
0x005A	R	jump_0E05+434	jump_0E05	movx A, @DPTR
0x005A	R	jump_0E05+441	jump_0E05	movx A, @DPTR
0x005A	W	jump_0E05+443	jump_0E05	movx @DPTR, A
0x005A	R	jump_0E05+446	jump_0E05	movx A, @DPTR
0x005A	W	jump_0E05+448	jump_0E05	movx @DPTR, A
0x005A	W	jump_0E2C+458	jump_0E2C	movx @DPTR, A
0x005A	W	jump_0E2C+460	jump_0E2C	movx @DPTR, A
0x005A	R	jump_0E3D+466	jump_0E3D	movx A, @DPTR
0x005A	R	jump_0E3D+471	jump_0E3D	movx A, @DPTR
0x005A	W	jump_0E3D+478	jump_0E3D	movx @DPTR, A
0x005A	R	jump_0E3D+480	jump_0E3D	movx A, @DPTR
0x005A	W	jump_0E3D+482	jump_0E3D	movx @DPTR, A
0x005A	R	jump_0E3D+485	jump_0E3D	movx A, @DPTR
0x005A	W	jump_0E3D+487	jump_0E3D	movx @DPTR, A
0x005A	W	jump_0E6C+491	jump_0E6C	movx @DPTR, A
0x005A	W	jump_0E6C+493	jump_0E6C	movx @DPTR, A
0x005A	R	jump_0E73+499	jump_0E73	movx A, @DPTR
0x005A	R	jump_0E73+504	jump_0E73	movx A, @DPTR
0x005A	W	jump_0E73+511	jump_0E73	movx @DPTR, A
0x005A	R	jump_0E73+513	jump_0E73	movx A, @DPTR
0x005A	W	jump_0E73+515	jump_0E73	movx @DPTR, A
0x005A	R	jump_0E73+518	jump_0E73	movx A, @DPTR
0x005A	W	jump_0E73+520	jump_0E73	movx @DPTR, A
0x0084	W	jump_0EA2+582	jump_0EA2	movx @DPTR, A
0x0084	W	jump_0EA2+585	jump_0EA2	movx @DPTR, A
0x0084	W	jump_0F1F+595	jump_0F1F	movx @DPTR, A
0x0084	W	jump_0F1F+598	jump_0F1F	movx @DPTR, A
0x0057	W	jump_0F3C+607	jump_0F3C	movx @DPTR, A
0x0058	W	jump_0F3C+618	jump_0F3C	movx @DPTR, A
0x0057	R	jump_0F3C+622	jump_0F3C	movx A, @DPTR
0x0057	R	jump_0F3C+629	jump_0F3C	movx A, @DPTR
0x0059	W	jump_0F3C+632	jump_0F3C	movx @DPTR, A
0x0058	R	jump_0F3C+634	jump_0F3C	movx A, @DPTR
0x0058	R	jump_0F3C+639	jump_0F3C	movx A, @DPTR
0x0058	W	jump_0F3C+646	jump_0F3C	movx @DPTR, A
0x0059	R	jump_0F7E+649	jump_0F7E	movx A, @DPTR
0x0059	W	jump_0F7E+651	jump_0F7E	movx @DPTR, A
0x0059	R	jump_0F84+653	jump_0F84	movx A, @DPTR
0x0059	W	jump_0F84+662	jump_0F84	movx @DPTR, A
0x0057	R	jump_0FA0+669	jump_0FA0	movx A, @DPTR
0x0057	R	jump_0FA0+676	jump_0FA0	movx A, @DPTR
0x0059	W	jump_0FA0+679	jump_0FA0	movx @DPTR, A
0x0058	R	jump_0FA0+681	jump_0FA0	movx A, @DPTR
0x0058	R	jump_0FA0+686	jump_0FA0	movx A, @DPTR
0x0058	W	jump_0FA0+693	jump_0FA0	movx @DPTR, A
0x0059	R	jump_0FC7+696	jump_0FC7	movx A, @DPTR
0x0059	W	jump_0FC7+698	jump_0FC7	movx @DPTR, A
0x0059	R	jump_0FCD+700	jump_0FCD	movx A, @DPTR
0x0059	W	jump_0FCD+709	jump_0FCD	movx @DPTR, A
0x0179	R	jump_0FE7+715	jump_0FE7	movx A, @DPTR
0x0084	R	jump_0FF0+721	jump_0FF0	movx A, @DPTR
0x0084	R	jump_0FF0+724	jump_0FF0	movx A, @DPTR
0x0066	R	jump_0FFA+733	jump_0FFA	movx A, @DPTR
0x006F	W	jump_1016+744	jump_1016	movx @DPTR, A
0x006F	R	jump_1016+753	jump_1016	movx A, @DPTR
0x005A	W	jump_103C+760	jump_103C	movx @DPTR, A
0x005A	W	jump_103C+763	jump_103C	movx @DPTR, A
0x005A	R	jump_1048+765	jump_1048	movx A, @DPTR
0x005A	R	jump_1048+768	jump_1048	movx A, @DPTR
0x005A	R	jump_1048+775	jump_1048	movx A, @DPTR
0x11EC	R	jump_1048+792	jump_1048	movx A, @DPTR
0x11EC	R	jump_1048+795	jump_1048	movx A, @DPTR
0x006C	W	jump_1048+798	jump_1048	movx @DPTR, A
0x006C	W	jump_1048+801	jump_1048	movx @DPTR, A
0x005A	R	jump_107D+807	jump_107D	movx A, @DPTR
0x005A	W	jump_107D+809	jump_107D	movx @DPTR, A
0x0070	R	jump_108D+812	jump_108D	movx A, @DPTR
0x0070	R	jump_108D+815	jump_108D	movx A, @DPTR
0x006C	W	jump_108D+818	jump_108D	movx @DPTR, A
0x006C	W	jump_108D+821	jump_108D	movx @DPTR, A
0x005A	W	jump_109C+824	jump_109C	movx @DPTR, A
0x005A	W	jump_109C+826	jump_109C	movx @DPTR, A
0x005A	R	jump_10A3+828	jump_10A3	movx A, @DPTR
0x005A	R	jump_10A3+831	jump_10A3	movx A, @DPTR
0x006C	R	jump_10B8+845	jump_10B8	movx A, @DPTR
0x006C	R	jump_10B8+848	jump_10B8	movx A, @DPTR
0x006C	R	jump_10CB+856	jump_10CB	movx A, @DPTR
0x006C	R	jump_10CB+859	jump_10CB	movx A, @DPTR
0x005A	R	jump_10DB+868	jump_10DB	movx A, @DPTR
0x005A	W	jump_10DB+870	jump_10DB	movx @DPTR, A
0x0067	R	jump_10EB+873	jump_10EB	movx A, @DPTR
0x006E	R	jump_10F5+877	jump_10F5	movx A, @DPTR
